# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1363
#@/user_id	myrimedata-windows
a 	啊	c=4 d=0.585669 t=1363
guan bi 	关闭	c=2 d=0.484639 t=1363
guan le 	关了	c=2 d=1.66637 t=1363
guan li 	管理	c=6 d=1.63825 t=1363
gui fan 	规范	c=1 d=0.476828 t=1363
guo 	过	c=2 d=0.0256208 t=1363
guo lai 	过来	c=2 d=0.429836 t=1363
guo nian 	过年	c=8 d=0.381386 t=1363
guo shan dou fu 	锅煽豆腐	c=1 d=0.146519 t=1363
guo yi hui 	过一会	c=4 d=3.16864 t=1363
ha ha ha 	哈哈哈	c=7 d=1.70874 t=1363
hai 	还	c=8 d=0.334278 t=1363
hai shi 	还是	c=5 d=0.677137 t=1363
hai xin 	海信	c=1 d=0.185444 t=1363
hai xing 	还行	c=2 d=0.0136454 t=1363
hai you 	还有	c=2 d=0.012471 t=1363
hai zhen 	还真	c=1 d=0.204918 t=1363
hai zhen xing 	还真行	c=1 d=0.186374 t=1363
hai zi 	孩子	c=2 d=1.14528 t=1363
han 	喊	c=2 d=0.737602 t=1363
han 	汗	c=0 d=0.0364219 t=1363
han hua 	汉化	c=8 d=1.1801 t=1363
han hua bao 	汉化包	c=5 d=0.735808 t=1363
han jia 	寒假	c=3 d=0.216943 t=1363
han jia yuan di 	寒假原地	c=1 d=0.0858632 t=1363
hao 	好	c=3 d=0.134452 t=1363
hao de 	好的	c=7 d=4.86234 t=1363
hao huai 	好坏	c=2 d=1.71712 t=1363
hao le 	好了	c=3 d=0.445424 t=1363
hao sheng huo 	好生活	c=2 d=0.905425 t=1363
hao wan 	好玩	c=2 d=0.951847 t=1363
hao yi 	好意	c=0 d=0.0169483 t=1363
hao yi xia 	好意下	c=1 d=0.170333 t=1363
he 	和	c=10 d=1.89126 t=1363
he 	喝	c=2 d=0.631694 t=1363
he 	鹤	c=2 d=0.995659 t=1363
hei 	黑	c=3 d=0.70801 t=1363
hen 	很	c=3 d=1.33683 t=1363
hen ka 	很卡	c=4 d=1.66084 t=1363
hen man 	很慢	c=2 d=0.622289 t=1363
hong se 	红色	c=2 d=0.0534317 t=1363
hong zha 	轰炸	c=2 d=0.0273415 t=1363
hou 	后	c=6 d=2.60332 t=1363
hou tai 	后台	c=2 d=1.03112 t=1363
hua 	花	c=2 d=1.49279 t=1363
hua 	话	c=2 d=0.472673 t=1363
hua ban 	花瓣	c=1 d=0.704586 t=1363
hua ban 	花瓣儿	c=1 d=0.640824 t=1363
hua le 	花了	c=2 d=0.0118036 t=1363
hua mian 	画面	c=6 d=2.1051 t=1363
hua qian 	花钱	c=2 d=0.791084 t=1363
hua shu 	话术	c=2 d=1.62119 t=1363
huai yi 	怀疑	c=4 d=0.0442213 t=1363
huan 	换	c=2 d=1.23448 t=1363
huan cun 	缓存	c=4 d=0.496504 t=1363
huan hua 	幻化	c=1 d=0.151072 t=1363
huan jing 	环境	c=2 d=1.80516 t=1363
huang lu 	黄璐	c=1 d=0.955997 t=1363
hui 	会	c=4 d=1.08399 t=1363
hui bu hui 	会不会	c=2 d=0.0556123 t=1363
hui fu 	回复	c=3 d=2.70099 t=1363
hui fu 	恢复	c=2 d=0.456416 t=1363
hui jia 	回家	c=1 d=0.0581343 t=1363
hui lai 	回来	c=8 d=1.64114 t=1363
hui lai shi 	会来事	c=1 d=0.00582847 t=1363
hui lai shi 	回来时	c=2 d=0.0116861 t=1363
hui yi 	会议	c=1 d=0.882497 t=1363
hui yuan 	会员	c=8 d=0.444858 t=1363
hun cun 	混村	c=1 d=0.110251 t=1363
huo 	或	c=2 d=0.150416 t=1363
huo ji 	伙计	c=1 d=0.143683 t=1363
huo qing 	火情	c=1 d=0.0812195 t=1363
huo qu 	获取	c=4 d=3.70176 t=1363
huo yue 	活跃	c=2 d=0.0570201 t=1363
huo zhe 	或者	c=2 d=0.218854 t=1363
ji 	几	c=2 d=0.0567357 t=1363
ji cheng 	集成	c=4 d=0.447342 t=1363
ji huo 	激活	c=2 d=0.0144169 t=1363
ji ke 	即可	c=2 d=1.99501 t=1363
ji neng 	技能	c=2 d=1.87883 t=1363
ji nian guan 	纪念馆	c=0 d=0.00198411 t=1363
ji qi ren 	机器人	c=2 d=1.07858 t=1363
ji xu 	继续	c=2 d=0.348418 t=1363
jia 	家	c=2 d=0.0521125 t=1363
jia hou 	加厚	c=0 d=0.00057417 t=1363
jia ru 	假如	c=2 d=0.919109 t=1363
jia ru 	加入	c=0 d=0.0453845 t=1363
jia ru wo 	加入我	c=1 d=0.45612 t=1363
jia zai 	加载	c=6 d=1.59509 t=1363
jia zhang 	家长	c=2 d=0.0889794 t=1363
jian pan 	键盘	c=1 d=0.625002 t=1363
jian ti 	简体	c=2 d=0.283946 t=1363
jian yi 	建议	c=2 d=1.61712 t=1363
jiang 	将	c=3 d=0.808092 t=1363
jiao dao 	叫道	c=2 d=1.13957 t=1363
jiao wo men 	叫我们	c=2 d=1.92639 t=1363
jie 	接	c=0 d=0.0139457 t=1363
jie bing 	结冰	c=2 d=0.0156177 t=1363
jie guo 	结果	c=2 d=0.0266664 t=1363
jie jue 	解决	c=4 d=1.80516 t=1363
jie shang 	街上	c=2 d=0.0721253 t=1363
jie xi 	解析	c=4 d=3.62846 t=1363
jie xia lai 	接下来	c=2 d=0.0993257 t=1363
jie ya 	解压	c=4 d=0.540616 t=1363
jie ya hou 	接押后	c=1 d=0.140156 t=1363
jin 	斤	c=2 d=1.75181 t=1363
jin kou liang 	进口量	c=2 d=0.239464 t=1363
jin se hua 	金色花	c=4 d=2.30415 t=1363
jin tian 	今天	c=6 d=0.745015 t=1363
jin wan 	今晚	c=2 d=0.172157 t=1363
jin xing 	进行	c=2 d=1.99501 t=1363
jin yong 	禁用	c=2 d=0.264649 t=1363
jin you xi 	进游戏	c=6 d=1.8095 t=1363
jing dong 	京东	c=2 d=0.0257492 t=1363
jing fang 	警方	c=1 d=0.170231 t=1363
jing ling 	精灵	c=6 d=1.4143 t=1363
jing zi 	镜子	c=1 d=0.865022 t=1363
jiu 	就	c=18 d=5.40408 t=1363
jiu hao 	就好	c=4 d=0.316364 t=1363
jiu sheng xia 	就剩下	c=1 d=0.0119145 t=1363
jiu shi 	就是	c=10 d=4.43395 t=1363
jiu xi 	酒席	c=0 d=0.00198411 t=1363
jiu xi ji nian guan 	酒席纪念馆	c=1 d=0.0199405 t=1363
